split,metric,value
train,accuracy,0.668802
train,macro_precision,0.671876
train,macro_recall,0.645191
train,macro_f1,0.636365
train,weighted_precision,0.625480
train,weighted_recall,0.668802
train,weighted_f1,0.623356
train,mae,0.426939
train,qwk,0.787635
val,accuracy,0.669492
val,macro_precision,0.700567
val,macro_recall,0.650587
val,macro_f1,0.651302
val,weighted_precision,0.647791
val,weighted_recall,0.669492
val,weighted_f1,0.632499
val,mae,0.434625
val,qwk,0.781720
test,accuracy,0.684783
test,macro_precision,0.697563
test,macro_recall,0.652419
test,macro_f1,0.652157
test,weighted_precision,0.654358
test,weighted_recall,0.684783
test,weighted_f1,0.645374
test,mae,0.399758
test,qwk,0.807121
